Time (min)	T7RNAP (uM)	NTP (mM)	MgOAc (mM)	RNA Yield (uM)	Std Dev RNA Yield	Ppi Conc (mM)	Ppi Std Dev
105	0.1	0.8	2	1.54	0.08	1.08	0.06
120	0.1	0.8	2	1.58	0.1	1.08	0.06
0	0.1	0.8	4	0	0.12	0.01	0.09
5	0.1	0.8	4	0.71	0.05	0.58	0.05
15	0.1	0.8	4	1.19	0.06	0.94	0.03
30	0.1	0.8	4	1.6	0.05	1.45	0.25
45	0.1	0.8	4	1.86	0.15	1.49	0.13
60	0.1	0.8	4	2.08	0.12	1.77	0.04
75	0.1	0.8	4	2.25	0.06	1.84	0.05
90	0.1	0.8	4	2.44	0.17	2.07	0.05
105	0.1	0.8	4	2.57	0.12	2.02	0.17
120	0.1	0.8	4	2.7	0.05	2.09	0.17
0	0.1	0.8	14	0	0.11	0.01	0.08
5	0.1	0.8	14	0.91	0.32	0.79	0.13
15	0.1	0.8	14	1.72	0.24	1.43	0.16
30	0.1	0.8	14	2.32	0.3	1.75	0.18
45	0.1	0.8	14	2.78	0.49	0.46	0.08
60	0.1	0.8	14	2.66	0.42	0.32	0.21
75	0.1	0.8	14	2.75	0.4	0.2	0.08
90	0.1	0.8	14	2.73	0.4	0.2	0.1
105	0.1	0.8	14	2.76	0.05	0.06	0.08
120	0.1	0.8	14	2.89	0.04	0.16	0.12
0	0.1	0.8	20	0.01	0.1	0.01	0.08
5	0.1	0.8	20	0.84	0.21	0.67	0.24
15	0.1	0.8	20	1.58	0.12	1.28	0.32
30	0.1	0.8	20	2.27	0.18	1.86	0.08
45	0.1	0.8	20	2.84	0.43	0.77	0.49
60	0.1	0.8	20	2.89	0.2	0.24	0.19
75	0.1	0.8	20	2.86	0.3	0.26	0.1
90	0.1	0.8	20	3.07	0.31	0.24	0.08
105	0.1	0.8	20	3.29	0.1	0.21	0.08
120	0.1	0.8	20	3.29	0.1	0.23	0.08
